unicode,emoji,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,Position,Unicode block,le_+,le_-,le_0,sent_score,sent_score_class,upper_error_class,lower_error_class,sent_polar,primary_basic_emot
1F308,🌈,0.0,0.28,0.0,0.0,0.69,0.06,0.22,0.33,0.671884074,Miscellaneous Symbols and Pictographs,0.5824175824175825,0.0659340659340659,0.3516483516483517,0.5164835164835165,Positive,Positive,Positive,Positive,joy
1F319,🌙,0.0,0.31,0.0,0.0,0.25,0.0,0.06,0.25,0.669389528,Miscellaneous Symbols and Pictographs,0.6557377049180327,0.0655737704918032,0.2786885245901639,0.5901639344262295,Positive,Positive,Positive,Positive,anticipation
1F31A,🌚,0.06,0.08,0.17,0.06,0.42,0.19,0.06,0.11,0.759894657,Miscellaneous Symbols and Pictographs,0.6225165562913907,0.1589403973509933,0.2185430463576159,0.4635761589403973,Positive,Positive,Positive,Positive,joy
1F31E,🌞,0.0,0.22,0.0,0.0,0.78,0.0,0.11,0.22,0.709366196,Miscellaneous Symbols and Pictographs,0.5818181818181818,0.0242424242424242,0.3939393939393939,0.5575757575757575,Positive,Positive,Positive,Positive,joy
1F31F,🌟,0.0,0.28,0.0,0.0,0.53,0.0,0.25,0.31,0.654510913,Miscellaneous Symbols and Pictographs,0.3861386138613861,0.0594059405940594,0.5544554455445545,0.3267326732673267,Positive,Positive,Positive,Positive,joy
1F337,🌷,0.0,0.31,0.0,0.0,0.44,0.0,0.0,0.22,0.623397976,Miscellaneous Symbols and Pictographs,0.5462184873949579,0.0084033613445378,0.4453781512605042,0.5378151260504201,Positive,Positive,Positive,Positive,joy
1F338,🌸,0.0,0.22,0.0,0.0,0.56,0.0,0.14,0.25,0.570021571,Miscellaneous Symbols and Pictographs,0.690200210748156,0.0400421496311907,0.2697576396206533,0.6501580611169653,Positive,Positive,Positive,Positive,joy
1F339,🌹,0.0,0.36,0.0,0.0,0.56,0.0,0.11,0.72,0.664431116,Miscellaneous Symbols and Pictographs,0.6228571428571429,0.0228571428571428,0.3542857142857142,0.6,Positive,Positive,Positive,Positive,trust
1F33A,🌺,0.0,0.11,0.0,0.0,0.39,0.0,0.06,0.19,0.629472896,Miscellaneous Symbols and Pictographs,0.5686274509803921,0.0196078431372549,0.4117647058823529,0.5490196078431372,Positive,Positive,Positive,Positive,joy
1F340,🍀,0.0,0.39,0.0,0.0,0.47,0.0,0.22,0.44,0.768496291,Miscellaneous Symbols and Pictographs,0.3096085409252669,0.0249110320284697,0.6654804270462633,0.2846975088967972,Neutral,Neutral,Neutral,Positive,joy
1F343,🍃,0.0,0.31,0.0,0.0,0.11,0.17,0.03,0.06,0.572324349,Miscellaneous Symbols and Pictographs,0.4795918367346938,0.1020408163265306,0.4183673469387755,0.3775510204081632,Positive,Positive,Positive,Positive,anticipation
