emoji,anger,joy,sadness,fear,surprise,disgust,anticipation,trust,pred_neg,pred_pos,pred_neut,pred_sent_score
🇸🇰,0.07450274825856332,0.08456275401289604,0.061850198070370566,0.0687947807148358,0.07218396926831182,0.06356232182487108,0.08103033709594398,0.08338614413105923,0.06169307231903076,0.1542188972234726,0.7840880155563354,0.09252582490444183
👔,0.07380208269955782,0.07497515217127336,0.07478747434525186,0.08087436699553448,0.07213976936067022,0.04837533843558732,0.08039139599915861,0.08409347427646675,0.31691545248031616,0.09938398748636246,0.5837004780769348,-0.2175314649939537
🌀,0.08079642315517822,0.08787871530998125,0.07316224119586508,0.07653019249379378,0.07650388217429624,0.07195714831526742,0.08525382103369337,0.08075294502823858,0.08713003993034363,0.409845769405365,0.5030242204666138,0.32271572947502136
🚾,0.07952045482296077,0.08760062780853557,0.10621849247954233,0.100682592800155,0.08486284438526177,0.05416672299402203,0.09524529541700777,0.11073168232679016,0.14585009217262268,0.25400903820991516,0.6001408696174622,0.10815894603729248
👹,0.06492226831801765,0.07737644092337728,0.07087141685418642,0.07126540964706073,0.07034642393565499,0.05233818442876071,0.07895693692907875,0.08583523964350918,0.18538789451122284,0.1723809540271759,0.6422311663627625,-0.013006940484046936
🚻,0.06464413589437258,0.07043527122191823,0.07360305834490609,0.06671097890057408,0.06623161742201343,0.04783573398576885,0.07449389387351206,0.06839764757477852,0.15273618698120117,0.25555500388145447,0.591708779335022,0.1028188169002533
👬,0.068578133897445,0.07203239896195739,0.06521653823837667,0.06623575022357327,0.06717586237803728,0.05294375884666166,0.07542781465251394,0.07374056674207136,0.18889103829860687,0.16252142190933228,0.6485875248908997,-0.026369616389274597
🇫🇯,0.06912382794698009,0.09953831224365137,0.06912382794698009,0.06912382794698009,0.06912382794698009,0.06912382794698009,0.07465373418273855,0.07119754278538952,0.10245698690414429,0.19975750148296356,0.6977854371070862,0.09730051457881927
🎧,0.07170569659411025,0.08385841999576188,0.07179029489647701,0.07230662958064378,0.07320393757579502,0.05712248597780165,0.08218544575464455,0.08774999622803507,0.09374690055847168,0.3360999822616577,0.5701531767845154,0.24235308170318604
🐽,0.06687591317159423,0.0683868472932601,0.053675748526990454,0.05947143640678725,0.062124340489535995,0.04870185010259661,0.06973664529076261,0.06477680996071346,0.08713798224925995,0.3639594614505768,0.5489025712013245,0.27682147920131683
