emoji,anger,joy,sadness,fear,surprise,disgust,anticipation,trust
👔,0.12626208645633596,0.14331108593614772,0.10481942262049415,0.11658861925758401,0.12233238077186652,0.10772101111981296,0.13732459093303542,0.14131704917779525
🌀,0.12515128011261822,0.12714053489617072,0.12682227666664403,0.13714424021057425,0.12233238077129507,0.08203339675034908,0.1363252329923122,0.14260310237668136
🚾,0.12919630378809188,0.14052113641082542,0.11698898008398828,0.12237445189126106,0.1223323807710576,0.11506199445993984,0.13632383874481882,0.12912678074391645
👹,0.1146311631304684,0.1262789791508112,0.1531171994174656,0.14513703103645526,0.1223323807704587,0.07808298473134222,0.13729900087548527,0.15962310035541225
🚻,0.11289977804261753,0.13455757527117385,0.12324534308027069,0.12393049626450647,0.12233238077147078,0.09101606518453652,0.13730605669155296,0.14926742017881137
👬,0.11940024046924691,0.13009669330494944,0.13594771968200803,0.123217780119802,0.12233238077119978,0.0883544665251057,0.13759312765076648,0.1263331229502951
🇫🇯,0.12488602440771501,0.13117650515778223,0.11876430172924302,0.1206203646698043,0.12233238077167086,0.09641463224193543,0.13735981669902825,0.13428720926936988
🎧,0.11695906432748537,0.16842105263157892,0.11695906432748537,0.11695906432748537,0.11695906432748537,0.11695906432748537,0.12631578947368421,0.12046783625730993
🐽,0.11982864405541704,0.14013727274141274,0.11997001775853278,0.12083287368241713,0.12233238077134054,0.09545838566411431,0.13734153621872766,0.14664055386552205
🚜,0.13168895814601456,0.13466421980410814,0.10569580385526933,0.11710840463234717,0.12233238077188914,0.09590143290213007,0.13732217965196233,0.1275555010944066
♋,0.11614254447056283,0.14713462859072024,0.12046730761358049,0.11679424254361948,0.12233238077154898,0.09848313994930556,0.13725290636795576,0.1477048700446915
🚭,0.12012801936043616,0.1270920343886246,0.12651727565025794,0.12119080872449217,0.12233238077129081,0.07211333966199607,0.13728536248735693,0.142385125453913
🚷,0.1151357841735603,0.14327622982818866,0.1164484476121288,0.11624778012242132,0.1223323807714418,0.09286329048496694,0.13746763824938382,0.15091946033513592
📅,0.12008899164760578,0.14345099951606244,0.11025413382958504,0.11601221617192436,0.12233238077175473,0.09626523555880222,0.13728530417738008,0.14732287742718506
💈,0.12054727181907765,0.13033916593849426,0.11938695014032419,0.11754778085247608,0.12233238077187193,0.09273577938640873,0.13734272255075206,0.1397028608615712
✔️,0.12560946534659934,0.14088569336308865,0.10889863327793137,0.11873844441333858,0.12233238077153566,0.10973414714237785,0.13729841279031735,0.14094279527683226
🙎🏼,0.1222464487510706,0.13510638110165019,0.11427325727345305,0.13161913217533083,0.12233238077066468,0.08350827444881191,0.13725714223221624,0.1511641084626562
🍸,0.12571102342292306,0.14261842308042105,0.10937140918213117,0.11557291419686067,0.12233238077159206,0.09611199370244901,0.13741003517018555,0.13747754218752012
🤷,0.1222339654337361,0.12138455970853101,0.11463535233087896,0.12174193361627772,0.12233238077147553,0.09180473212186804,0.13726165792434025,0.1457331624162639
🌂,0.1220180689111885,0.14375217093038373,0.11358877650854993,0.12928817744506205,0.12233238077145718,0.10141933335447302,0.137244227328342,0.1477880223325633
🚓,0.1272882928293484,0.10981943904334912,0.14126757638223353,0.12202700351107865,0.12233238077146351,0.09276841455730184,0.13725344017563665,0.12552949074664854
🍤,0.1303630372480029,0.14379902411747025,0.11168153251855983,0.115059311154738,0.12233238077161256,0.10129216970981836,0.13771215794808647,0.13492056719724183
💘,0.1033099297893681,0.16750250752256768,0.1143430290872618,0.10631895687061184,0.10631895687061184,0.10631895687061184,0.13139418254764293,0.16449348044132397
🚔,0.12781437307421584,0.10595075173478108,0.14723330691595038,0.12548481202151152,0.1223323807714623,0.08616136358290345,0.13745659438433602,0.12710187374835238
👚,0.12343537618107803,0.1346923125674948,0.1326480479710881,0.1201181837585068,0.12233238077147945,0.10934955175263812,0.1371987956249324,0.12809565717167812
🐧,0.11779060539748798,0.14238844220380997,0.11681838636468456,0.11955324487632879,0.12233238077179542,0.09878283544982235,0.1373145744951007,0.14531414781740792
🍥,0.11295713984674194,0.14906488341512159,0.11356228426120651,0.1207961269691964,0.12233238077072965,0.1001900490565732,0.1372543960072714,0.1538859868944471
🍵,0.12868679970523544,0.1468169047657284,0.10981312689364131,0.10874102537223962,0.12233238077152342,0.10277559812579075,0.13723722698340132,0.1371464308848817
✂️,0.1359493386303825,0.12150633871351602,0.11622474699470331,0.12449399517788606,0.12233238077193145,0.09640032480206395,0.1373444088196509,0.140406961927732
👓,0.11267767654425143,0.14167110715061426,0.11980435578698234,0.12511157341427293,0.1223323807708815,0.09121890297190126,0.1372567632162925,0.15010698270910106
⛔,0.12851463558183696,0.1278758288899553,0.11468448006235121,0.11807926484704012,0.12233238077181544,0.077139866587469,0.13782953910998638,0.1457651560984385
💂,0.12131156703907209,0.13026248375535943,0.14013383250312472,0.11599862550542639,0.12233238077143821,0.11283147326214304,0.13731602948756105,0.11913593916874995
🆔,0.13418006720229414,0.13636630200198852,0.1065711004393961,0.11919432814136144,0.12233238077166447,0.09814327536785705,0.13726024605480866,0.13983700680381816
