tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question,has_emoji
The only thing I got from college is a caffeine addiction,1,"College is really difficult, expensive, tiring, and I often question if a degree is worth the stress. ",0.0,1.0,0.0,0.0,0.0,0.0,False
"@VolphanCarol @littlewhitty @mysticalmanatee I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",1,I would say Ted Cruz is an asshole and doesn’t actually care about people/babies/fetuses. He just wants to wage a war on women and keep the patriarchy in power.  ,1.0,0.0,0.0,0.0,0.0,0.0,False
"@jimrossignol I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",1,It's a terrible name and the product sounds awful.,0.0,1.0,0.0,1.0,0.0,0.0,False
Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @bbcgoodfood,1,Great recipe from Alexa,0.0,1.0,0.0,0.0,0.0,1.0,False
someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,1,Simply “I’m miserable.”,1.0,0.0,0.0,0.0,0.0,0.0,False
Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,1,this last year of trumps presidency is not going too well,1.0,0.0,0.0,0.0,0.0,0.0,False
Holly Arnold ??? Who #ImACeleb  #MBE nope not sure oh hang on you mean MBE yes that’s her !!!,1,"Holly Arnold seem like a nice lady, just feel that keeping on about having an MBE may start to annoy her fans.",1.0,0.0,0.0,0.0,0.0,1.0,False
"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. https://t.co/yZlafy0lsd",1,"Had a great time playing crazy golf with the family, and I won!",0.0,1.0,0.0,0.0,0.0,0.0,False
See Brexit is going well,1,Brexit really isn't going to plan.,0.0,1.0,0.0,0.0,0.0,0.0,False
Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,1,Can we not sing poor scouser tommy abit slower instead of super fast,1.0,0.0,0.0,0.0,0.0,0.0,False
do i just blast maneskin to get hyped for my osce or??,1,"I probably shouldn't be listening to Maneskin before my OSCE, it's not the right vibe.",1.0,0.0,0.0,0.0,0.0,1.0,False
"@heathoween @tylerrjoseph Yes, because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throats for the past four months. I use the internet to get away from these fucking real life problems; not everyone needs to weigh in.",1,"""Not every celebrity needs to weigh in on every political issue there is""",1.0,0.0,0.0,0.0,0.0,0.0,False
"I never thought I'd say this, but I have become one of those people who like bounty bars.",1,"No, it would be less logical.",1.0,0.0,0.0,0.0,0.0,0.0,False
"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",1,I hope whoever keeps peeing all over the bathroom at work stops doing that.,1.0,0.0,0.0,0.0,0.0,0.0,False
gaslight gatekeep girl boss,1,"I do not gaslight, gatekeep, or am a girl boss.",0.0,1.0,0.0,0.0,0.0,0.0,False
I was only in Taylor Swift’s top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out,1,I am not happy that I didn't get tickets to the Swiftogeddan event when I should be there instead of most people who bought tickets.,1.0,0.0,0.0,0.0,0.0,0.0,False
Imagine going to university for 4 years when you could just follow Elon Musk on twitter for free,1,Go to school,1.0,0.0,0.0,0.0,0.0,0.0,False
"Not got one lynx Africa for Christmas Day this year, shocked and outraged. #RuinedChristmas",1,Lynx Africa is terrible and I’m glad I didn’t get one for Christmas this year ,0.0,1.0,0.0,0.0,0.0,0.0,False
The villains in super hero films are awfully polite. They always confine their invasions to being above one particular city,1,"I would say that the invasions that take place are unrealistic and are only shown in this way for plot purposes, as opposed to realism.",1.0,0.0,0.0,0.0,0.0,0.0,False
"Oh my goodness. It’s the first week of the summer holidays and Harrison has found his recorder. 

Give.
Me.
Strength.",1,It is the first week of the summer holiday and My son is playing his recorder and my ears cannot take the sound anymore. ,1.0,0.0,0.0,0.0,0.0,0.0,False
@DuncanEdwards03 @PoliticsForAlI Well I doubt they're trying to smash the doors in to change the regulation of cough medicine.,1,They are from an anti-vax movement and are attempting to enter the building that regulates medicine to change covid vaccination rules. ,1.0,0.0,0.0,0.0,0.0,0.0,False
Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,1,Very concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,1.0,0.0,0.0,0.0,0.0,0.0,False
